"Date","Android","iOS","Unknown","Windows","Samsung","Other"
2025-04,76.08,23.52,0.34,0.02,0.02,0.02
2025-05,77.51,22.08,0.36,0.02,0.02,0.02
2025-06,75.87,23.57,0.5,0.03,0.02,0.01
2025-07,75.7,23.65,0.59,0.02,0.02,0.01
2025-08,76.97,22.37,0.6,0.03,0.02,0.01
2025-09,77.37,21.88,0.69,0.02,0.02,0.01
2025-10,75.36,23.73,0.85,0.03,0.02,0.02
2025-11,75.67,23.57,0.7,0.02,0.02,0.02
2025-12,77.27,22.35,0.33,0.02,0.02,0.01
2026-01,77.35,22.24,0.35,0.02,0.02,0.01
2026-02,72.79,26.83,0.3,0.04,0.03,0.01
2026-03,70.18,29.48,0.26,0.03,0.03,0.01
2026-04,70.9,28.81,0.24,0.04,0.01,0.01
