"Date","Android","iOS","Samsung","Unknown","Linux","Other"
2025-04,90.61,9.3,0.05,0.03,0.01,0.01
2025-05,90.81,9.09,0.05,0.03,0.01,0.01
2025-06,91.96,7.95,0.04,0.03,0.01,0.01
2025-07,88.63,11.26,0.05,0.04,0.02,0.01
2025-08,89.63,10.27,0.06,0.03,0.01,0
2025-09,87.34,12.52,0.07,0.04,0.01,0.01
2025-10,85.5,14.35,0.07,0.06,0.01,0.01
2025-11,85.3,14.55,0.08,0.06,0.01,0
2025-12,85.56,14.29,0.08,0.06,0.01,0
2026-01,85.67,14.19,0.08,0.05,0.01,0.01
2026-02,85.21,14.67,0.07,0.04,0.01,0
2026-03,84.91,14.97,0.06,0.04,0.01,0
2026-04,83.72,16.19,0.02,0.04,0.03,0
