"Date","iOS","Android","Playstation","Samsung","Unknown","Other"
2025-04,61.14,38.61,0.15,0.05,0.02,0.03
2025-05,62.46,37.25,0.18,0.05,0.02,0.03
2025-06,61.7,38.09,0.11,0.05,0.01,0.03
2025-07,63.93,35.91,0.05,0.07,0.01,0.03
2025-08,56.94,42.91,0.06,0.05,0.01,0.03
2025-09,58.62,41.2,0.1,0.05,0.02,0.02
2025-10,59.5,40.29,0.1,0.06,0.02,0.01
2025-11,61.38,38.41,0.11,0.06,0.02,0.01
2025-12,60.4,39.44,0.09,0.05,0.01,0.01
2026-01,60.36,39.46,0.11,0.06,0.01,0.01
2026-02,62.14,37.77,0.01,0.07,0.01,0.01
2026-03,60.58,39.36,0,0.05,0,0.01
2026-04,59.65,40.33,0,0.01,0,0
