"Date","Android","iOS","Samsung","Linux","Tizen","Other"
2025-04,83.07,16.66,0.2,0.03,0.01,0.03
2025-05,82.47,17.26,0.19,0.03,0.01,0.03
2025-06,82.08,17.64,0.2,0.04,0.01,0.03
2025-07,82.11,17.61,0.17,0.07,0.02,0.03
2025-08,82.6,17.03,0.28,0.05,0.02,0.03
2025-09,82.2,17.47,0.24,0.04,0.02,0.03
2025-10,81.78,17.93,0.2,0.05,0.02,0.03
2025-11,81.26,18.45,0.19,0.06,0.01,0.03
2025-12,80.59,19.13,0.2,0.05,0.01,0.02
2026-01,79.59,20.12,0.21,0.05,0.01,0.02
2026-02,78.91,20.88,0.18,0.02,0,0.01
2026-03,78.42,21.41,0.15,0.02,0,0
2026-04,77.57,22.37,0.04,0.02,0,0
