"Date","Android","iOS","Samsung","Unknown","KaiOS","Other"
2025-04,81.43,18.26,0.16,0.09,0.03,0.03
2025-05,81.16,18.53,0.15,0.1,0.03,0.03
2025-06,81.44,18.25,0.14,0.11,0.03,0.03
2025-07,82.48,17.23,0.13,0.11,0.02,0.03
2025-08,83.96,15.73,0.12,0.13,0.03,0.03
2025-09,85.79,13.92,0.11,0.12,0.04,0.02
2025-10,83.33,16.3,0.14,0.16,0.05,0.02
2025-11,82.91,16.7,0.16,0.15,0.06,0.02
2025-12,82.37,17.32,0.14,0.1,0.05,0.02
2026-01,80.91,18.75,0.17,0.1,0.04,0.02
2026-02,78.63,21.14,0.15,0.06,0.01,0.01
2026-03,78.48,21.3,0.13,0.05,0.02,0.02
2026-04,77.84,22.04,0.03,0.05,0.02,0.02
