"Date","Android","iOS","Samsung","Windows","Linux","Other"
2025-04,63.72,35.34,0.89,0.02,0.02,0.01
2025-05,62.15,36.89,0.9,0.03,0.02,0.01
2025-06,64.1,34.94,0.91,0.02,0.02,0.01
2025-07,65,34.01,0.88,0.03,0.02,0.05
2025-08,66.43,32.54,0.99,0.02,0.02,0.01
2025-09,62.2,36.85,0.89,0.02,0.02,0.02
2025-10,60.71,38.44,0.81,0.01,0.02,0.01
2025-11,61.52,37.59,0.85,0.01,0.01,0.01
2025-12,54.95,44.34,0.69,0.01,0.01,0
2026-01,58.06,41.04,0.86,0.02,0.02,0
2026-02,63.46,35.69,0.83,0.01,0.01,0
2026-03,59.22,39.88,0.89,0.01,0,0
2026-04,58.61,41.17,0.21,0,0,0
