"Date","Android","iOS","Unknown","KaiOS","Samsung","Linux","Other"
2025-04,94.84,4.89,0.11,0.09,0.04,0.01,0.02
2025-05,94.78,4.92,0.12,0.1,0.04,0.01,0.02
2025-06,94.69,5.04,0.12,0.08,0.04,0.01,0.02
2025-07,94.84,4.96,0.08,0.06,0.04,0.02,0.01
2025-08,95.21,4.53,0.12,0.08,0.04,0.01,0.01
2025-09,96.68,3.1,0.1,0.08,0.03,0.01,0.01
2025-10,95.68,4.03,0.12,0.12,0.04,0.01,0.01
2025-11,95.36,4.31,0.14,0.14,0.04,0.01,0.01
2025-12,95.27,4.43,0.13,0.11,0.03,0.01,0.01
2026-01,94.87,4.83,0.15,0.09,0.04,0.01,0.01
2026-02,94.77,5.1,0.05,0.03,0.03,0.01,0
2026-03,93.9,5.95,0.05,0.05,0.03,0.01,0
2026-04,93.48,6.4,0.05,0.04,0.01,0.02,0
