"Date","Android","iOS","Samsung","Unknown","Linux","Other"
2025-04,67.61,31.88,0.27,0.22,0.01,0
2025-05,69.95,29.53,0.27,0.24,0.01,0
2025-06,69.69,29.83,0.28,0.17,0.01,0
2025-07,65.45,34.01,0.29,0.23,0.01,0.01
2025-08,67.43,31.99,0.35,0.21,0.01,0.01
2025-09,64.92,34.52,0.37,0.18,0.01,0
2025-10,60.08,39.29,0.47,0.14,0.01,0.01
2025-11,65.92,33.47,0.37,0.22,0.02,0.01
2025-12,65.33,34.1,0.33,0.21,0.02,0.01
2026-01,62.42,36.97,0.38,0.2,0.02,0.01
2026-02,60.41,39.13,0.27,0.18,0.01,0
2026-03,52.74,46.78,0.32,0.14,0.01,0
2026-04,56.96,42.75,0.09,0.18,0.01,0
