"Date","iOS","Android","Samsung","KaiOS","Windows","Other"
2025-04,57.6,42.15,0.2,0.01,0.02,0.02
2025-05,58.65,41.1,0.19,0.01,0.02,0.02
2025-06,58.62,41.12,0.21,0.01,0.02,0.02
2025-07,58.86,40.86,0.2,0.01,0.02,0.04
2025-08,57.27,42.48,0.22,0.01,0.01,0.01
2025-09,58.42,41.3,0.24,0.01,0.01,0.02
2025-10,58.05,41.69,0.21,0.01,0.01,0.02
2025-11,59,40.74,0.23,0.01,0.01,0.02
2025-12,59.31,40.41,0.24,0.01,0.01,0.02
2026-01,59.77,39.95,0.24,0.01,0.01,0.02
2026-02,60.93,38.85,0.2,0.01,0.01,0.01
2026-03,63.03,36.77,0.18,0.02,0,0
2026-04,63.08,36.85,0.05,0.02,0,0
