"Date","Android","iOS","Unknown","Samsung","Linux","KaiOS","Series 40","Nokia Unknown","Other"
2025-04,84.68,13.91,1.1,0.17,0.04,0.03,0.02,0.01,0.02
2025-05,86.62,12.12,1.02,0.12,0.04,0.03,0.02,0.01,0.02
2025-06,88.89,10.15,0.74,0.13,0.03,0.02,0.01,0.01,0.02
2025-07,84.58,13.93,1.21,0.13,0.06,0.03,0.02,0.01,0.03
2025-08,84.34,14.04,1.3,0.19,0.05,0.02,0.02,0.02,0.02
2025-09,84.14,14.28,1.28,0.17,0.05,0.02,0.02,0.01,0.03
2025-10,83.58,15.17,0.99,0.15,0.05,0.02,0.01,0.01,0.02
2025-11,84.04,14.76,0.93,0.16,0.06,0.02,0.01,0.01,0.02
2025-12,83.55,15.19,0.98,0.17,0.06,0.02,0.01,0.01,0.02
2026-01,83.29,15.54,0.87,0.19,0.06,0.01,0.01,0.01,0.01
2026-02,84.94,14.74,0.1,0.17,0.04,0.01,0,0,0
2026-03,82.79,17.01,0.02,0.12,0.04,0.01,0,0,0.01
2026-04,82.65,17.24,0.02,0.03,0.04,0.01,0,0,0
