"Date","Android","iOS","Samsung","Unknown","KaiOS","Linux","Other"
2025-04,72.23,27.39,0.22,0.11,0.02,0.01,0.02
2025-05,72.72,26.92,0.2,0.11,0.02,0.01,0.02
2025-06,74.18,25.47,0.2,0.11,0.02,0.01,0.02
2025-07,72.03,27.59,0.21,0.12,0.02,0.01,0.03
2025-08,73.93,25.68,0.21,0.14,0.02,0.01,0.02
2025-09,75.17,24.45,0.2,0.13,0.03,0.01,0.02
2025-10,72.59,27,0.22,0.14,0.03,0.01,0.02
2025-11,71.9,27.67,0.24,0.13,0.04,0.01,0.02
2025-12,71.71,27.91,0.22,0.1,0.03,0.01,0.01
2026-01,70.37,29.24,0.25,0.1,0.02,0.01,0.01
2026-02,68.24,31.48,0.22,0.04,0.01,0.01,0.01
2026-03,67.46,32.27,0.2,0.03,0.01,0.01,0.01
2026-04,67.35,32.55,0.05,0.03,0.01,0.01,0.01
